mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
800,3.5,86726333.11950684,253443.9253616333,654042.8030948639,422253.09869766235,116604.00643920898,1446343.8335933685,0.0029223410727211717,0.007541455744400128,0.004868799169864677,0.001344505206723446,0.016677101193709423
900,0.5,68376.86792373657,375.3807654976845,1152.277591586113,960.2961706221104,350.16846331954,2838.122991025448,0.005489879500130973,0.016851862721634074,0.014044167271498407,0.005121153892425971,0.04150706338568942
900,1.0,512722.95265197754,1303.2588885426521,3340.442677438259,3309.8247816562653,963.9459451436996,8917.472292780876,0.002541838397914027,0.006515102669307768,0.0064553864119730265,0.0018800522585498529,0.017392379737744674
900,1.5,2196004.884004593,4616.492671966553,12379.97968864441,10446.207205295563,3480.871461868286,30923.55102777481,0.0021022233172578396,0.005637500981358709,0.004756914377278642,0.0015850927687923147,0.014081731444687504
900,2.0,6513325.191650391,11553.666752815247,32242.694209188223,26426.850026130676,9238.50041627884,79461.71140441298,0.0017738507464092545,0.004950266301845486,0.004057351544493429,0.0014183999945407185,0.012199868587288889
900,2.5,15266029.06967163,45112.40793991089,112109.83890748024,84216.03017044067,20708.42974090576,262146.70675873756,0.002955084634912283,0.007343745933918342,0.005516564247722355,0.0013565040159687837,0.01717189883252176
900,3.0,31247442.566223145,90116.12969279289,241980.22160339355,163093.24765968323,40364.14323043823,535553.7421863079,0.0028839521667031955,0.007744000843927034,0.0052194110706512194,0.0012917582981357254,0.017139122379417174
900,3.5,56730266.62963867,187933.82777786255,445900.85953235626,297352.1651535034,76492.62265014648,1007679.4751138687,0.003312761228583345,0.007860016989579876,0.005241508330901305,0.0013483564804926016,0.01776264302955713
1000,0.5,40292.27712869644,238.23859214782715,783.5557189285755,733.9347765408456,241.0936772376299,1996.8227648548782,0.005912760685797824,0.019446796626208095,0.018215271730525555,0.005983620048764166,0.049558449091295635
1000,1.0,332849.31053876877,866.4091382026672,2335.163882255554,2229.1353044509888,681.5245554745197,6112.23288038373,0.002603007159006123,0.007015678892276284,0.0066971306049659046,0.0020475468444605322,0.018363363500708843
1000,1.5,1459405.0399780273,2376.8411290049553,8412.623977184296,6756.659767627716,2443.607551574707,19989.732425391674,0.0016286370568110006,0.0057644202580737665,0.00462973580503014,0.0016743861262884894,0.013697179246203397
1000,2.0,4412700.52154541,7178.631732463837,21170.455753326416,20026.638253331184,7017.882614135742,55393.60835325718,0.0016268114496811004,0.004797618975038017,0.004538408658269309,0.0015903827100593603,0.012553221793047787
1000,2.5,10402055.440597534,28276.273542404175,79124.19334602356,54859.59929347038,14428.295654296875,176688.361836195,0.0027183352082557136,0.007606592158431945,0.005273919140957687,0.0013870619837292521,0.016985908491374598
1000,3.0,21159993.674926758,56479.95171499252,160088.32362902164,110837.69015169144,26181.693942070007,353587.6594377756,0.0026691856615211405,0.0075656130190018015,0.005238077659873171,0.0012373204994429485,0.01671019683983906
1000,3.5,38554231.46606445,110643.77070474625,294152.7520465851,214793.547706604,50299.778717041016,669889.8491749763,0.002869821715993359,0.007629584117258288,0.005571205534097234,0.0013046500164661569,0.017375261383815038
1500,0.5,5738.304794281721,32.45330497995019,124.26554333884269,110.27842922881246,42.94320531189442,309.94048285949975,0.00565555615175587,0.021655444908167752,0.019217945574920667,0.007483604801663333,0.05401255143650762
1500,1.0,66652.60048478842,148.55823609232903,526.5645947754383,497.487009704113,164.0902757421136,1336.700116313994,0.0022288438112213383,0.007900135792835447,0.007463879969959318,0.002461873573553407,0.02005473314756951
1500,1.5,315744.7021102905,370.37680304050446,1384.421568453312,1390.226426512003,645.5063726902008,3790.53117069602,0.001173026184018539,0.004384623270637584,0.004403007927671872,0.002044393360762467,0.012005050743090462
1500,2.0,983650.0052642822,908.6822136640549,3161.6705399751663,4048.912840783596,1238.5920575261116,9357.857651948929,0.0009237861117277324,0.0032142230702532294,0.004116212900030183,0.001259179637978381,0.009513401719989526
1500,2.5,2339462.5811576843,3368.527902841568,10417.93516254425,9713.836334645748,3108.5914294719696,26608.890829503536,0.0014398725288329469,0.004453131777550778,0.0041521657208292906,0.001328763047765304,0.01137393307497832
1500,3.0,4779620.313491821,6937.409142792225,21924.853088855743,21333.18345928192,6815.288475036621,57010.73416596651,0.0014514561173843534,0.0045871537174128,0.004463363627245248,0.0014259058310130942,0.011927879293055495
1500,3.5,8666769.256591797,13015.870590567589,43131.04873049259,39759.21272659302,12868.124794006348,108774.25684165955,0.001501813444573702,0.0049766005593939,0.0045875471642853344,0.0014847660544578445,0.012550727222710781
2000,0.5,1642.8655205946416,4.572638773359358,25.205547395627946,24.90115978755057,8.245264496654272,62.924610453192145,0.0027833311467296935,0.015342428871782944,0.015157150402996769,0.0050188310566466,0.03830174147815601
2000,1.0,22539.391845464706,34.836539475247264,104.5646811593324,117.53571627475321,48.267796505242586,305.20473341457546,0.0015455847129370061,0.004639197094413731,0.005214680018014919,0.002141486196086291,0.013540948021451947
2000,1.5,110848.58816385269,87.37166579812765,327.09745955467224,377.1980442106724,168.50423497706652,960.1714045405388,0.0007882072947016498,0.0029508491264784325,0.0034028222682738257,0.0015201297352383882,0.008662008424692296
