mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
2500,20,9901.331694945693,7.411573447287083,36.10884083574638,41.525041580200195,29.547171358019114,114.59262722125277,0.0007485430925488992,0.003646867103157322,0.004193884505596089,0.0029841613500436494,0.011573456051345958
2500,30,9901.333654671907,7.406510220374912,45.43364642560482,48.4270203113556,17.285433262586594,118.55261021992192,0.0007480315762190458,0.004588639067239909,0.004890959339452771,0.0017457681828983236,0.011973398165810048
2500,40,9901.332302019,12.205990932881832,46.397308740764856,48.8898272458464,22.918915785849094,130.41204270534217,0.0012327624768631272,0.004685966224091266,0.0049377018924894765,0.002314730491489075,0.013171161084932943
2500,50,9901.333699151874,11.482228598091751,40.076892860466614,39.687754096928984,15.875529253971763,107.12240480945911,0.0011596648438457634,0.004047625711665441,0.004008324060457487,0.0016033728118194446,0.010818987427788135
2500,60,9901.333384141326,18.712774615734816,49.729036105796695,41.63446811400354,13.768881736323237,123.84516057185829,0.0018899247091009495,0.005022458509017202,0.004204935486839403,0.0013906088404594527,0.012507927545417007
2500,70,,,,,,,,,,,
2500,80,,,,,,,,,,,
2500,90,,,,,,,,,,,
2500,100,,,,,,,,,,,
3000,1,4969.9785539880395,18.51444422826171,19.928104804828763,8.068672245368361,1.1025475319474933,47.61376881040633,0.0037252563622040664,0.0040096963373892095,0.0016234823063560003,0.00022184150695434704,0.009580276512903623
3000,5,4969.977953508496,7.6542938384227455,21.51446892344393,15.895874124020338,7.0983553300611675,52.16299221594818,0.001540106195646057,0.0043288861891743495,0.0031983792026278176,0.0014282468446464977,0.010495618432094723
3000,10,4969.978850930929,3.4270942056318745,17.725335194263607,12.689367439597845,8.914266995736398,42.756063835229725,0.0006895591125080832,0.0035664810104661646,0.002553203508546318,0.00179362272217047,0.008602866353691035
3000,20,4969.978624098003,3.577573660761118,13.22255221940577,21.807804119191132,8.532710125669837,47.14064012502786,0.00071983683056794,0.0026604847262910554,0.0043879070250828316,0.001716850467786153,0.009485079049727979
3000,30,4969.9781753867865,2.594436633400619,14.107684115879238,20.021458703908138,8.782110664527863,45.50569011771586,0.00052202173567869,0.0028385806975462853,0.004028480206022228,0.0017670320380922797,0.009156114677339483
3000,40,4969.978040121496,3.7799291864503175,16.84130373771768,21.7855972237885,9.369153462350368,51.77598361030687,0.0007605524925735715,0.003388607273867548,0.004383439332713014,0.00188514987122988,0.010417748970384014
3000,50,4969.977753087878,6.407490166835487,21.615098753973143,19.68573878868483,9.508950690738857,57.21727840023232,0.0012892392049148457,0.004349133905185701,0.003960930967237018,0.0019132783209805891,0.011512582398318155
3000,60,4969.978239759803,6.563214911613614,19.083031845279038,17.846411569975317,8.989942299202085,52.48260062607005,0.0013205721624911606,0.00383966104571945,0.0035908429995133795,0.0018088494286116964,0.010559925636335687
3000,70,4969.977974966168,8.06362273124978,22.426682530436665,16.72376359300688,7.626882953569293,54.840951808262616,0.0016224664921789054,0.004512430969191433,0.0033649572849708096,0.0015345908959729768,0.011034445642314126
3000,80,4969.978153929114,7.830978222191334,24.292505596065894,18.448470003902912,7.270841117482632,57.84279493964277,0.0015756564676245909,0.004887849572711094,0.003711982111896832,0.0014629523294251354,0.011638440481657653
3000,90,,,,,,,,,,,
3000,100,,,,,,,,,,,
3500,1,2757.420439273119,8.694157329387963,9.7162628849037,2.259437197702937,0.4664641460403798,21.13632155803498,0.0031530038747663094,0.003523678415709791,0.000819402498626051,0.00016916685587611876,0.00766525164497827
3500,5,2757.4205662868917,3.514493738533929,10.718404313083738,10.291789220180362,3.3629034471232444,27.887590718921274,0.0012745584701525973,0.0038871126313230514,0.003732397352080085,0.0012195830727598034,0.010113651526315538
3500,10,2757.4206417798996,2.704889152897522,5.994559078826569,8.736938391812146,3.7963654641062026,21.23275208764244,0.0009809490477852994,0.002173973382224743,0.0031685185275803626,0.001376781404543222,0.0077002223621336265
3500,20,2757.4208665266633,1.1691587131936103,6.306034550303593,9.496238330379128,5.581569388275966,22.553000982152298,0.0004240044482822532,0.0022869321933604134,0.003443884263609312,0.002024199300162217,0.008179020205414195
