mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
2000,2.5,836192.3317193985,2011.264404296875,3482.5238037109375,1761.7026977539062,127.88244390487671,7383.3733496665955,0.0024052653056041134,0.004164740181902995,0.0021068151798659183,0.00015293424617028213,0.008829754913543309
2000,3.0,1709076.5641593933,3848.2166748046875,6890.720947265625,3609.8091430664062,303.9843978881836,14652.731163024902,0.0022516350381864996,0.004031838650045977,0.0021121400987918204,0.00017786470440409898,0.008573478491428397
2000,3.5,3183655.566177368,7828.147216796875,13600.23583984375,6499.0087890625,838.2115936279297,28765.603439331055,0.002458854940202018,0.004271892972446647,0.002041366804282127,0.00026328589139257134,0.009035400608323363
2500,0.1,4.452702955168206,,,,,,,,,,
2500,0.5,661.6982620675117,3.269617438316345,6.637550711631775,3.9531493186950684,0.6147180944681168,14.475035563111305,0.004941251361459301,0.010031083791715566,0.0059742476976488365,0.0009290006181176858,0.02187558346894139
2500,1.0,9901.331694945693,20.80170965194702,49.64092540740967,38.057748794555664,4.671131610870361,113.17151546478271,0.0021009001912909975,0.005013560492347685,0.0038437000160274305,0.00047176801614017455,0.011429928715806286
2500,1.5,49575.648383796215,99.87921524047852,206.25157165527344,117.79078102111816,13.255562543869019,437.17713046073914,0.002014682984421118,0.004160340376358783,0.0023759806449574956,0.0002673805179762731,0.00881838452371367
2500,2.0,156699.83887553215,226.8160514831543,560.9615631103516,330.6121597290039,62.69658613204956,1181.0863604545593,0.0014474555501190782,0.0035798477339592386,0.0021098436482223292,0.00040010625781083237,0.0075372531901114785
2500,2.5,374369.2094159126,833.27685546875,1189.5867614746094,797.0518493652344,101.82503890991211,2921.740505218506,0.002225815677439982,0.0031775763913132484,0.002129052895692964,0.0002719909553159529,0.007804435919762147
2500,3.0,767360.2368021011,1393.5820007324219,2551.992889404297,1646.4019775390625,205.48562622070312,5797.462493896484,0.0018160727307685877,0.003325677780802766,0.002145539863259376,0.00026778247864007705,0.007555072853470807
2500,3.5,1384917.6059246063,2267.2745361328125,5051.482666015625,3004.9126586914062,369.00960540771484,10692.679466247559,0.0016371187184230516,0.003647496893970906,0.002169741106500881,0.0002664487792119262,0.007720805498106765
3000,0.1,1.172766115532795,,,,,,,,,,
3000,0.5,320.1587413623929,1.162454068660736,2.30607807636261,1.302511751651764,0.28028591722249985,5.05132981389761,0.0036308678117425983,0.007202920859038243,0.004068331060114425,0.0008754592051111285,0.015777578936006394
3000,1.0,4969.978624098003,9.68968915939331,21.09732413291931,13.392369031906128,2.2611864805221558,46.440568804740906,0.0019496440311454828,0.0042449526906664006,0.0026946532459858814,0.0004549690555122934,0.009344219023310058
3000,1.5,24925.759905278683,32.278279304504395,77.5295524597168,48.95576095581055,9.597308039665222,168.36090075969696,0.0012949767400137968,0.0031104188098713846,0.0019640629269418136,0.00038503572513481286,0.006754494201961808
3000,2.0,78915.46292126179,101.39417266845703,252.91407775878906,152.89336013793945,37.42420196533203,544.6258125305176,0.0012848454398553483,0.003204873524104333,0.0019374322151602837,0.0004742315457576695,0.006901382724877634
