mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
900,20,512722.95265197754,3482.7691650390625,3934.629150390625,1323.0414733886719,170.57363891601562,8911.013427734375,0.006792692129394628,0.0076739867603729936,0.0025804217785559457,0.0003326818860629327,0.017379782554386502
900,30,,,,,,,,,,,
900,40,,,,,,,,,,,
900,50,,,,,,,,,,,
900,60,,,,,,,,,,,
900,70,,,,,,,,,,,
900,80,,,,,,,,,,,
900,90,,,,,,,,,,,
900,100,,,,,,,,,,,
1000,1,332849.2174196243,8076.304931640625,1221.4653778076172,33.2528742385839,0.00029999999242136255,9331.023483686819,0.024264154785314684,0.003669725851473795,9.990371765441728e-05,9.013089913417203e-10,0.028033785255751887
1000,5,332849.18595552444,5144.861572265625,3232.7960205078125,488.7407760620117,59.6049861907959,8926.003355026245,0.01545703516592973,0.00971249489833447,0.0014683550288968339,0.00017907505472691875,0.026816960147887953
1000,10,332849.20907974243,3144.6806030273438,2748.9860229492188,694.2511291503906,80.46311473846436,6668.3808698654175,0.009447763483415568,0.008258953147431483,0.002085782721460712,0.00024174044144772893,0.02003423979375549
1000,20,332849.31053876877,2118.6050415039062,2780.6254272460938,1097.1694946289062,114.38043212890625,6110.7803955078125,0.006365057623447115,0.00835400687099281,0.0032962949295372297,0.00034364028558077407,0.018358999709557927
1000,30,,,,,,,,,,,
1000,40,,,,,,,,,,,
1000,50,,,,,,,,,,,
1000,60,,,,,,,,,,,
1000,70,,,,,,,,,,,
1000,80,,,,,,,,,,,
1000,90,,,,,,,,,,,
1000,100,,,,,,,,,,,
1500,1,66652.5956016779,1548.65380859375,209.55339813232422,8.596155166625977,0.00029999999242136255,1766.8036618926926,0.023234711185872628,0.0031439645559286963,0.0001289695485828849,4.500949883695309e-09,0.02650764979133409
1500,5,66652.60771691799,1062.2857971191406,744.2908935546875,141.9821662902832,18.156819343566895,1966.7156763076782,0.01593764795566292,0.011166718288289402,0.002130181716119785,0.00027240973707557233,0.02950695769714768
1500,10,66652.60109841824,616.3594818115234,620.8699798583984,158.03000259399414,20.54611763358116,1415.8055818974972,0.009247343264239849,0.009315015012566893,0.0023709502703525313,0.00030825680160993373,0.02124156534876921
1500,20,66652.60048478842,428.9644470214844,630.6558837890625,241.7483367919922,29.074483394622803,1330.4431509971619,0.006435824617516363,0.009461834635139135,0.003626990320462657,0.00043620928790705227,0.019960858861025207
1500,30,66652.61390656233,419.1652603149414,572.7916412353516,198.86546325683594,31.134675979614258,1221.9570407867432,0.006288804530645305,0.008593686093666567,0.0029836108683692075,0.00046711860427950706,0.018333220096960586
1500,40,66652.61857837439,631.9456481933594,504.201416015625,151.92497634887695,16.049121618270874,1304.1211621761322,0.009481182610256753,0.00756461526598168,0.002279354953927788,0.00024078756334830711,0.019565940393514527
1500,50,,,,,,,,,,,
1500,60,,,,,,,,,,,
1500,70,,,,,,,,,,,
1500,80,,,,,,,,,,,
1500,90,,,,,,,,,,,
1500,100,,,,,,,,,,,
2000,1,22539.397213310003,316.5520477294922,63.928420066833496,2.4001836478710175,0.00029999999242136255,382.8809514441891,0.014044388354031106,0.0028362967945337234,0.00010648836901696984,1.331002730828161e-08,0.016987186827609108
2000,5,22539.397559762,267.61249923706055,235.38018035888672,34.50520706176758,2.932627260684967,540.4305139183998,0.011873099027048101,0.010443055531310844,0.0015308841760423666,0.0001301111643693787,0.02397714989877069
2000,10,22539.39548447728,144.5004005432129,158.53168106079102,44.88625431060791,6.5763280391693115,354.4946639537811,0.006411014911324009,0.007033537397663155,0.0019914577718608624,0.0002917703823821886,0.015727780463230215
2000,20,22539.391845464706,84.42943000793457,143.86275672912598,67.5740909576416,8.581379652023315,304.44765734672546,0.003745861050147329,0.006382725750343327,0.0029980441096612203,0.00038072809199375223,0.013507359002145627
2000,30,22539.395550489426,88.99362182617188,153.6036548614502,66.17848777770996,7.789823889732361,316.5655883550644,0.003948358846927439,0.006814896811113234,0.0029361252225893406,0.0003456092632245948,0.014044990143854607
2000,40,22539.3928219378,150.4323387145996,134.26976776123047,41.3181676864624,9.075859308242798,335.0961334705353,0.006674196590077725,0.005957115563048551,0.00183315353758097,0.000402666539420227,0.014867132230127473
2000,50,22539.396391808987,183.13379669189453,110.25176429748535,35.28817367553711,1.6992789097130299,330.37301357463,0.008125053284854024,0.004891513613805195,0.0015656219475496309,7.539150029459363e-05,0.014657580346503444
2000,60,,,,,,,,,,,
2000,70,,,,,,,,,,,
2000,80,,,,,,,,,,,
2000,90,,,,,,,,,,,
2000,100,,,,,,,,,,,
2500,1,9901.33253954351,97.55900001525879,16.168663501739502,1.4356700165008078,0.00029999999242136255,115.16363353349152,0.009853118216728093,0.0016329785346735704,0.00014499765670601323,3.0298951300063466e-08,0.011631124707058977
2500,5,9901.332767158747,80.71202087402344,62.685458183288574,14.093186378479004,0.36211793700204,157.85278337279306,0.008151631984507504,0.006331012163454091,0.0014233625623839262,3.6572645876839074e-05,0.01594257935622236
2500,10,9901.33298330009,43.00470733642578,50.19960403442383,15.158252000808716,1.7206628248095512,110.08322619646788,0.004343325025929228,0.005069984427257634,0.0015309304339501677,0.00017378092704403307,0.011118020814181062
2500,20,9901.331694945693,20.80170965194702,49.64092540740967,38.057748794555664,4.671131610870361,113.17151546478271,0.0021009001912909975,0.005013560492347685,0.0038437000160274305,0.00047176801614017455,0.011429928715806286
2500,30,9901.333654671907,34.4645881652832,54.70511341094971,25.60486364364624,2.669620633125305,117.44418585300446,0.003480802623899177,0.005525024740999139,0.0025860014960272224,0.0002696223282876297,0.011861451189213168
2500,40,9901.332302019,46.048630714416504,56.471320152282715,22.2270827293396,4.541948676109314,129.28898227214813,0.0046507509605577665,0.0057034062113810215,0.002244857767757904,0.0004587209617420028,0.013057735901438695
2500,50,9901.333699151874,56.981698989868164,37.23411464691162,10.811327457427979,1.2892244292233954,106.31636552343116,0.005754951880346088,0.003760515075873164,0.0010919061801092566,0.0001302071486928905,0.010737580285021399
2500,60,9901.333384141326,71.15939044952393,45.10382270812988,6.543047070503235,0.403920915312483,123.21018114346953,0.007186849254414342,0.004555328152102357,0.0006608248421352058,4.079459802448741e-05,0.012443796846676392
2500,70,,,,,,,,,,,
2500,80,,,,,,,,,,,
2500,90,,,,,,,,,,,
2500,100,,,,,,,,,,,
